Gene_ID,Drug_ID,Association_Label,drug_emb_index,prot_emb_index
PA378,PA164745442,1,338,338
PA378,PA164745513,1,339,339
PA378,PA164746010,1,340,340
PA378,PA164746890,1,341,341
PA378,PA164748964,1,342,342
PA378,PA164749137,1,343,343
PA378,PA164749649,1,344,344
PA378,PA164752250,1,345,345
PA378,PA164754742,1,346,346
PA378,PA164781042,1,347,347
PA378,PA164781343,1,348,348
PA378,PA164783809,1,349,349
PA378,PA164924486,1,350,350
PA378,PA165111696,1,351,351
PA378,PA166114961,1,352,352
PA378,PA448406,1,353,353
PA378,PA448419,1,354,354
PA378,PA448500,1,355,355
PA378,PA448681,1,356,356
PA378,PA448785,1,357,357
PA378,PA448835,1,358,358
PA378,PA448868,1,359,359
PA378,PA448883,1,360,360
PA378,PA448890,1,361,361
PA378,PA448964,1,362,362
PA378,PA449014,1,363,363
PA378,PA449035,1,364,364
PA378,PA449057,1,365,365
PA378,PA449165,1,366,366
PA378,PA449167,1,367,367
PA378,PA449247,1,368,368
PA378,PA449307,1,369,369
PA378,PA449383,1,370,370
PA378,PA449412,1,371,371
PA378,PA449415,1,372,372
PA378,PA449441,1,373,373
PA378,PA449493,1,374,374
PA378,PA449685,1,375,375
PA378,PA449688,1,376,376
PA378,PA449782,1,377,377
PA378,PA449814,1,378,378
PA378,PA449905,1,379,379
PA378,PA449964,1,380,380
PA378,PA450085,1,381,381
PA378,PA450112,1,382,382
PA378,PA450131,1,383,383
PA378,PA450180,1,384,384
PA378,PA450272,1,385,385
PA378,PA450395,1,386,386
PA378,PA450401,1,387,387
PA378,PA450486,1,388,388
PA378,PA450494,1,389,389
PA378,PA450519,1,390,390
PA378,PA450530,1,391,391
PA378,PA450576,1,392,392
PA378,PA450616,1,393,393
PA378,PA450620,1,394,394
PA378,PA450631,1,395,395
PA378,PA450704,1,396,396
PA378,PA450761,1,397,397
PA378,PA450911,1,398,398
PA378,PA450932,1,399,399
PA378,PA450947,1,400,400
PA378,PA450970,1,401,401
PA378,PA451123,1,402,402
PA378,PA451234,1,403,403
PA378,PA451236,1,404,404
PA378,PA451249,1,405,405
PA378,PA451250,1,406,406
PA378,PA451257,1,407,407
PA378,PA451260,1,408,408
PA378,PA451283,1,409,409
PA378,PA451305,1,410,410
PA378,PA451363,1,411,411
PA378,PA451365,1,412,412
PA378,PA451483,1,413,413
PA378,PA451542,1,414,414
PA378,PA451550,1,415,415
PA378,PA451578,0,416,416
PA378,PA451581,1,417,417
PA378,PA451614,1,418,418
PA378,PA451640,1,419,419
PA378,PA451728,1,420,420
PA378,PA451799,1,421,421
PA378,PA451846,1,422,422
PA378,PA451877,1,423,423
PA378,PA451879,1,424,424
PA378,PA452604,1,425,425
PA126,PA164769031,1,426,426
PA293,PA164769031,1,427,427
PA35066,PA164769031,1,428,428
PA35068,PA164769031,1,429,429
PA35072,PA164769031,1,430,430
PA130,PA451539,1,431,431
PA28469,PA451539,1,432,432
PA35056,PA164712887,1,433,433
PA35066,PA164712887,1,434,434
PA35072,PA164712887,1,435,435
PA134952671,PA166128167,1,436,436
PA166049147,PA166128167,1,437,437
PA267,PA146096022,1,438,438
PA378,PA146096022,1,439,439
PA39,PA451616,1,440,440
PA128,PA450475,0,441,441
PA134904907,PA450475,1,442,442
PA134979668,PA450475,1,443,443
PA142672060,PA450475,1,444,444
PA27331,PA450475,1,445,445
PA28469,PA450475,1,446,446
PA124,PA450651,1,447,447
PA134952671,PA166128166,1,448,448
PA166049147,PA166128166,1,449,449
PA28469,PA164745551,1,450,450
PA267,PA450133,1,451,451
PA128,PA164712732,1,452,452
PA27091,PA164712732,1,453,453
PA267,PA450348,1,454,454
PA28469,PA450348,0,455,455
PA134865839,PA448422,1,456,456
PA267,PA448422,1,457,457
PA39,PA448068,1,458,458
PA212,PA165817939,1,459,459
PA124,PA450192,1,460,460
PA156,PA450192,1,461,461
PA27093,PA450192,1,462,462
PA128,PA450966,1,463,463
PA180,PA450966,1,464,464
PA28941,PA450966,1,465,465
PA312,PA450966,1,466,466
PA37,PA450966,1,467,467
PA38,PA450966,1,468,468
PA39,PA450966,1,469,469
PA128,PA166246281,1,470,470
PA125,PA10235,1,471,471
PA142671157,PA10235,1,472,472
PA267,PA449367,1,473,473
PA123,PA449655,0,474,474
PA129,PA449655,1,475,475
PA134865839,PA449655,1,476,476
PA35602,PA449655,1,477,477
PA36249,PA449655,1,478,478
PA25408,PA166179872,1,479,479
PA29444,PA166179872,1,480,480
PA30196,PA166179872,1,481,481
PA31768,PA166179872,1,482,482
PA124,PA449409,1,483,483
PA126,PA449409,1,484,484
PA128,PA449409,0,485,485
PA130,PA449409,1,486,486
PA212,PA449409,1,487,487
PA27093,PA449409,1,488,488
PA125,PA165291492,1,489,489
PA130,PA165291492,1,490,490
PA30086,PA165291492,1,491,491
PA35056,PA165291492,1,492,492
PA390,PA165291492,1,493,493
PA420,PA165291492,1,494,494
PA34335,PA166225084,1,495,495
PA356,PA164754994,1,496,496
PA37174,PA164748728,1,497,497
PA37174,PA165958521,1,498,498
PA37174,PA448320,1,499,499
PA37174,PA450428,1,500,500
PA37174,PA450732,1,501,501
PA37174,PA451257,1,502,502
PA37174,PA451846,1,503,503
PA426,PA130620651,1,504,504
PA426,PA449177,1,505,505
PA426,PA449212,1,506,506
PA426,PA449412,1,507,507
PA426,PA449748,1,508,508
PA426,PA451954,1,509,509
PA123,PA448926,1,510,510
PA35602,PA448926,1,511,511
PA30128,PA10804,1,512,512
PA30128,PA162372840,1,513,513
PA30128,PA166169917,1,514,514
PA30128,PA166223903,1,515,515
PA30128,PA7000,1,516,516
PA122,PA164771231,1,517,517
PA327,PA10804,1,518,518
PA327,PA10810,1,519,519
PA327,PA128406956,1,520,520
PA327,PA131625240,1,521,521
PA327,PA164713176,1,522,522
PA327,PA448803,1,523,523
PA327,PA449014,1,524,524
PA327,PA450085,1,525,525
PA327,PA450198,1,526,526
PA327,PA450379,1,527,527
PA327,PA450428,0,528,528
PA109,PA166152935,0,529,529
PA116,PA451581,1,530,530
PA123,PA451581,0,531,531
PA124,PA451581,0,532,532
PA126,PA451581,0,533,533
PA128,PA451581,0,534,534
PA130,PA451581,0,535,535
PA131,PA451581,0,536,536
PA156,PA451581,1,537,537
PA157,PA451581,1,538,538
PA159,PA451581,1,539,539
PA166,PA451581,1,540,540
PA25411,PA451581,1,541,541
PA266,PA451581,1,542,542
PA267,PA451581,1,543,543
PA27091,PA451581,1,544,544
PA27093,PA451581,1,545,545
PA27886,PA451581,1,546,546
PA361,PA451581,1,547,547
PA37179,PA451581,0,548,548
PA37188,PA451581,0,549,549
PA378,PA451581,1,550,550
PA117,PA164745398,1,551,551
PA31943,PA164745398,1,552,552
PA126,PA10026,0,553,553
PA126,PA10034,0,554,554
PA126,PA10066,0,555,555
PA126,PA10074,0,556,556
PA126,PA10233,0,557,557
PA126,PA10390,1,558,558
PA126,PA10715,1,559,559
PA126,PA10892,1,560,560
PA126,PA131301952,1,561,561
PA126,PA131890625,1,562,562
PA126,PA133950441,1,563,563
PA126,PA134308647,1,564,564
PA126,PA134852920,1,565,565
PA126,PA142650384,1,566,566
PA126,PA143485705,1,567,567
PA126,PA154410481,0,568,568
PA126,PA164712462,1,569,569
PA126,PA164744895,1,570,570
PA126,PA164746820,1,571,571
PA126,PA164769031,1,572,572
PA126,PA164783479,0,573,573
PA126,PA164784021,1,574,574
PA126,PA165110351,1,575,575
PA126,PA165958395,1,576,576
PA126,PA165980614,0,577,577
PA126,PA166049185,1,578,578
PA126,PA166124478,1,579,579
PA126,PA166128206,1,580,580
PA126,PA166153431,1,581,581
PA126,PA166153491,1,582,582
PA126,PA166160006,1,583,583
PA126,PA166179849,1,584,584
PA126,PA166182720,1,585,585
PA126,PA166182736,1,586,586
PA126,PA166182883,1,587,587
PA126,PA166225041,1,588,588
PA126,PA166272921,1,589,589
PA126,PA166328841,1,590,590
PA126,PA166400021,1,591,591
PA126,PA166400041,1,592,592
PA126,PA448385,0,593,593
PA126,PA448497,1,594,594
PA126,PA448685,1,595,595
PA126,PA448687,0,596,596
PA126,PA448689,0,597,597
PA126,PA448691,1,598,598
PA126,PA448785,0,599,599
PA126,PA448817,1,600,600
PA126,PA448871,1,601,601
PA126,PA449015,0,602,602
PA126,PA449053,0,603,603
PA126,PA449165,1,604,604
PA126,PA449211,1,605,605
PA126,PA449283,0,606,606
PA126,PA449293,1,607,607
PA126,PA449409,1,608,608
PA126,PA449421,1,609,609
PA126,PA449653,1,610,610
PA126,PA449673,0,611,611
PA126,PA449683,1,612,612
PA126,PA449688,0,613,613
PA126,PA449761,0,614,614
PA126,PA449762,0,615,615
PA126,PA449782,0,616,616
PA126,PA449957,0,617,617
PA126,PA449982,0,618,618
PA126,PA450084,1,619,619
PA126,PA450112,1,620,620
PA126,PA450149,1,621,621
PA126,PA450150,1,622,622
PA126,PA450164,0,623,623
PA126,PA450268,0,624,624
PA126,PA450353,1,625,625
PA126,PA450401,0,626,626
PA126,PA450522,0,627,627
PA126,PA450530,0,628,628
PA126,PA450572,1,629,629
PA126,PA450595,0,630,630
PA126,PA450600,1,631,631
PA126,PA450616,1,632,632
PA126,PA450657,0,633,633
PA126,PA450688,0,634,634
PA126,PA450732,0,635,635
PA126,PA450801,0,636,636
PA126,PA450921,0,637,637
PA126,PA450947,0,638,638
PA126,PA450970,1,639,639
PA126,PA450985,1,640,640
PA126,PA451123,1,641,641
PA126,PA451141,1,642,642
PA126,PA451182,1,643,643
PA126,PA451201,0,644,644
PA126,PA451250,1,645,645
PA126,PA451257,0,646,646
PA126,PA451283,1,647,647
PA126,PA451333,0,648,648
PA126,PA451346,1,649,649
PA126,PA451363,0,650,650
PA126,PA451544,1,651,651
PA126,PA451581,0,652,652
PA126,PA451718,0,653,653
PA126,PA451744,0,654,654
PA126,PA451791,1,655,655
PA126,PA451846,0,656,656
PA126,PA451866,0,657,657
PA126,PA451906,0,658,658
PA126,PA451949,1,659,659
PA126,PA451954,1,660,660
PA126,PA451974,0,661,661
PA126,PA452632,0,662,662
PA126,PA452637,1,663,663
PA126,PA7000,1,664,664
PA26681,PA449061,1,665,665
PA26681,PA449072,1,666,666
PA26681,PA450401,1,667,667
PA26681,PA450688,1,668,668
PA26681,PA451257,1,669,669
PA26681,PA452618,1,670,670
PA293,PA449550,1,671,671
PA35056,PA166251381,1,672,672
PA420,PA166251381,1,673,673
PA139,PA164712372,1,674,674
PA254,PA164712372,1,675,675
PA37,PA164712372,1,676,676
PA38,PA164712372,1,677,677
PA39,PA164712372,1,678,678
PA117,PA449690,1,679,679
PA124,PA449690,0,680,680
PA128,PA449690,0,681,681
PA192,PA449690,1,682,682
PA193,PA449690,1,683,683
PA267,PA449690,1,684,684
PA27093,PA449690,1,685,685
PA312,PA449690,0,686,686
PA123,PA449964,1,687,687
PA378,PA449964,1,688,688
PA128,PA451131,0,689,689
PA130,PA451131,1,690,690
PA212,PA451131,1,691,691
PA267,PA451131,1,692,692
PA304,PA451131,1,693,693
PA128,PA166184497,1,694,694
PA28469,PA166184497,1,695,695
PA128,PA166175998,1,696,696
PA29349,PA448785,1,697,697
PA29349,PA449383,1,698,698
PA29349,PA449441,1,699,699
PA29349,PA450164,1,700,700
PA29349,PA451906,1,701,701
PA117,PA164713257,1,702,702
PA128,PA164713257,1,703,703
PA128747823,PA164713257,1,704,704
PA192,PA164713257,1,705,705
PA193,PA164713257,1,706,706
PA267,PA164713257,1,707,707
PA27478,PA164713257,1,708,708
PA28162,PA164713257,1,709,709
PA28529,PA164713257,1,710,710
PA29561,PA164713257,1,711,711
PA312,PA164713257,1,712,712
PA31891,PA164713257,1,713,713
PA35,PA164713257,1,714,714
PA355,PA164713257,1,715,715
PA267,PA450524,1,716,716
PA130,PA451877,1,717,717
PA182,PA451877,1,718,718
PA183,PA451877,1,719,719
PA267,PA451877,0,720,720
PA378,PA451877,1,721,721
PA211,PA1102,1,722,722
PA211,PA151249535,1,723,723
PA211,PA164712406,1,724,724
PA211,PA448383,1,725,725
PA211,PA451209,1,726,726
PA211,PA451457,1,727,727
PA211,PA452233,1,728,728
PA24692,PA451884,1,729,729
PA117,PA164712362,1,730,730
PA136,PA164712362,1,731,731
PA193,PA164712362,1,732,732
PA27478,PA164712362,1,733,733
PA30049,PA164712362,1,734,734
PA31891,PA164712362,1,735,735
PA31945,PA164712362,1,736,736
PA329,PA448360,1,737,737
PA124,PA134688071,0,738,738
PA128,PA134688071,0,739,739
PA310,PA134688071,1,740,740
PA390,PA10204,1,741,741
PA390,PA10804,1,742,742
PA390,PA128406956,1,743,743
PA390,PA130620651,1,744,744
PA390,PA131285527,1,745,745
PA390,PA131301952,1,746,746
PA390,PA133950441,1,747,747
PA390,PA134308647,1,748,748
PA390,PA142650384,1,749,749
PA390,PA143485705,1,750,750
PA390,PA151958596,1,751,751
PA390,PA162372840,1,752,752
PA390,PA162372878,1,753,753
PA390,PA164712948,1,754,754
PA390,PA164713083,1,755,755
PA390,PA164713176,1,756,756
PA390,PA164760843,1,757,757
PA390,PA164924562,1,758,758
PA390,PA165110729,1,759,759
PA390,PA165291492,1,760,760
PA390,PA165958345,1,761,761
PA390,PA166114961,1,762,762
PA390,PA166131630,1,763,763
PA390,PA166163740,1,764,764
PA390,PA166184498,1,765,765
PA390,PA166353181,1,766,766
PA390,PA448320,1,767,767
PA390,PA448500,1,768,768
PA390,PA448771,1,769,769
PA390,PA448866,1,770,770
PA390,PA449165,1,771,771
PA390,PA449167,1,772,772
PA390,PA449212,1,773,773
PA390,PA449383,1,774,774
PA390,PA449412,1,775,775
PA390,PA449441,1,776,776
PA390,PA449688,1,777,777
PA390,PA449748,1,778,778
PA390,PA450085,1,779,779
PA390,PA450163,1,780,780
PA390,PA450164,1,781,781
PA390,PA450198,1,782,782
PA390,PA450272,1,783,783
PA390,PA450428,1,784,784
PA390,PA450761,1,785,785
PA390,PA451089,1,786,786
PA390,PA451363,1,787,787
PA390,PA451547,1,788,788
PA390,PA451605,1,789,789
PA390,PA451729,1,790,790
PA390,PA451954,1,791,791
PA198,PA451261,1,792,792
PA267,PA451261,1,793,793
PA28063,PA451261,1,794,794
PA28065,PA451261,1,795,795
PA29016,PA451261,1,796,796
PA29778,PA451261,1,797,797
PA31111,PA451261,1,798,798
PA35602,PA451261,1,799,799
PA29016,PA448691,1,800,800
PA29016,PA449014,1,801,801
PA29016,PA449165,1,802,802
PA29016,PA449412,1,803,803
PA29016,PA451100,1,804,804
PA29016,PA451261,1,805,805
PA29016,PA451879,1,806,806
PA125,PA448897,1,807,807
PA134865839,PA448897,1,808,808
PA35068,PA166123566,1,809,809
PA35072,PA166123566,1,810,810
PA130,PA163522472,1,811,811
PA123,PA10066,0,812,812
PA124,PA10066,0,813,813
PA126,PA10066,0,814,814
PA128,PA10066,0,815,815
PA130,PA10066,0,816,816
PA131,PA10066,0,817,817
PA193,PA10066,0,818,818
PA27093,PA10066,0,819,819
PA27478,PA10066,0,820,820
PA27479,PA10066,1,821,821
PA312,PA10066,0,822,822
PA35055,PA10066,0,823,823
PA35056,PA10066,0,824,824
PA37179,PA10066,0,825,825
PA39,PA165958382,1,826,826
PA36394,PA10390,1,827,827
PA36394,PA164712689,1,828,828
PA36394,PA449167,1,829,829
PA36394,PA449899,1,830,830
PA36394,PA451234,1,831,831
PA36394,PA451365,1,832,832
PA36394,PA451578,1,833,833
PA116,PA164712708,1,834,834
PA123,PA164712708,1,835,835
PA129,PA164712708,1,836,836
PA18,PA164712708,1,837,837
PA182,PA164712708,0,838,838
PA183,PA164712708,0,839,839
PA267,PA164712708,1,840,840
PA35057,PA164712708,1,841,841
PA35066,PA164712708,1,842,842
PA35068,PA164712708,1,843,843
PA117,PA164747026,1,844,844
PA28469,PA164747026,1,845,845
PA27478,PA451264,1,846,846
PA130,PA449028,1,847,847
PA131,PA449028,1,848,848
PA267,PA449028,1,849,849
PA130,PA451096,1,850,850
PA267,PA451096,1,851,851
PA38592,PA451096,1,852,852
PA128,PA450965,1,853,853
PA130,PA450965,0,854,854
PA130,PA165958401,1,855,855
PA329,PA10390,1,856,856
PA329,PA10804,1,857,857
PA329,PA161925594,1,858,858
PA329,PA164712420,1,859,859
PA329,PA164712431,1,860,860
PA329,PA164712697,1,861,861
PA329,PA165110351,1,862,862
PA329,PA448360,1,863,863
PA329,PA449088,0,864,864
PA329,PA450163,1,865,865
PA329,PA450164,1,866,866
PA329,PA450213,1,867,867
PA329,PA450379,1,868,868
PA329,PA450395,0,869,869
PA329,PA450550,0,870,870
PA329,PA450688,1,871,871
PA329,PA451124,1,872,872
PA329,PA451224,1,873,873
PA329,PA451316,1,874,874
PA329,PA451735,0,875,875
PA329,PA7000,1,876,876
PA28469,PA166115581,1,877,877
PA30167,PA10004,1,878,878
PA30167,PA165107055,1,879,879
PA30167,PA449515,1,880,880
PA30167,PA450428,1,881,881
PA30167,PA452347,1,882,882
PA30167,PA452639,1,883,883
PA267,PA164712314,1,884,884
PA134956204,PA448492,1,885,885
PA28586,PA448492,1,886,886
PA35072,PA448492,1,887,887
PA359,PA448492,1,888,888
